JSON Location,,,XL Location,,,GUID,Reductive,Match,,,
0,44.956,20,0,45,20,9ab00223-7ac0-4ab2-8c4d-b6b1e8a5feac,1.652993829,TRUE,TRUE,TRUE,TRUE
0,40,20,0,40,20,2962bcc4-ed96-4184-a03b-61ffe2daeb41,1.300895794,TRUE,TRUE,TRUE,TRUE
9.862,40,20,10,40,20,56def24d-9dc0-48b1-a617-0ece80694382,1.300852444,TRUE,TRUE,TRUE,TRUE
19.955,40,19.991,20,40,20,f16adcf4-1ac6-430c-a747-fdb7cdd42db9,1.153728225,TRUE,TRUE,TRUE,TRUE
20,46.21,20,20,45,20,6dcf8c8c-b6ea-4734-b050-bf6272d8b84a,1.270696428,TRUE,TRUE,TRUE,TRUE
20,53.425,20,20,55,20,8414d269-3823-4ce3-a94f-59ab48ce891d,1.295746581,TRUE,TRUE,TRUE,TRUE
45.712,60,10,45,60,10,acad01d9-d1a5-4456-9ba7-cf32c4833670,1.749658688,FALSE,TRUE,TRUE,TRUE
40,60,10,40,60,10,20f0f58a-2a10-426c-a11d-5d3b5fc54197,1.300895794,TRUE,TRUE,TRUE,TRUE
40,50.532,10,40,50,10,8a0bfc29-b812-4ca3-b385-27f49d3af3e3,1.30025254,TRUE,TRUE,TRUE,TRUE
40.026,40,9.978,40,40,10,829e88b8-c1f4-4c11-8809-997331312671,1.110420228,TRUE,TRUE,TRUE,TRUE
49.918,40,10,50,40,10,5d5599db-27c4-45bf-9b39-ec78b08f0ee0,1.300880487,TRUE,TRUE,TRUE,TRUE
60,40,10,60,40,10,097aff1d-4a33-421f-a549-e7dcf358ad4a,1.300895794,TRUE,TRUE,TRUE,TRUE
60,45.129,10,60,45,10,678e23bb-1d5c-4ce0-8309-201e2619c98c,1.673309066,TRUE,TRUE,TRUE,TRUE
50.918,20,30,50,20,30,1d3b9d8f-a6d3-44fe-92e6-41bbaf843e68,1.298986716,TRUE,TRUE,TRUE,TRUE
40,19.966,29.994,40,20,30,39e8d690-502c-4982-9268-16d4d5afcb44,1.153329815,TRUE,TRUE,TRUE,TRUE
40,10.998,30,40,10,30,a83219d4-d71a-4891-8f18-d1f923b8bbe6,1.298641496,TRUE,TRUE,FALSE,TRUE
40,0,30,40,0,30,e6a5721e-b236-4aa7-8e0f-e6c6d8fb760f,1.300895794,TRUE,TRUE,TRUE,TRUE
45.241,0,30,45,0,30,8b90ee38-288f-42e6-8fbf-30b51483f4cb,1.686988075,TRUE,TRUE,TRUE,TRUE
0,60,30,0,60,30,46ab6f0a-ce84-467e-a8f6-a66dd93988cc,1,TRUE,TRUE,TRUE,TRUE
0,55.282,30,0,55,30,4c43a24a-587e-47d7-973f-4f87974e6bac,1,TRUE,TRUE,TRUE,TRUE
0,50,30,0,50,30,d456293c-ff74-42ae-9b63-fbfdd2d9308e,1,TRUE,TRUE,TRUE,TRUE
5.177,50,29.993,5,50,30,56b90802-53ef-42f0-af92-7b4ba6fd07d8,1,TRUE,FALSE,TRUE,TRUE
10,50,30,10,50,30,ecf06441-c44f-4702-89ab-894aa1101889,1,TRUE,TRUE,TRUE,TRUE
10,54.939,30,10,55,30,1b311b79-4307-4dd0-aa0d-fb72df268b1c,1,TRUE,TRUE,TRUE,TRUE
10,60,30,10,60,30,18f9d66e-7c17-4ecb-9c49-610daebff469,1,TRUE,TRUE,TRUE,TRUE
4.809,59.964,30,5,60,30,bfbe2aad-7526-49e6-b855-a662f89b60a3,1,TRUE,FALSE,TRUE,TRUE
5.231,57.199,30,5,60,30,8e47c3f7-53d4-4e36-99e6-28b69cb8b9ad,0,FALSE,FALSE,FALSE,TRUE
50,60,20,50,60,20,0446778c-d206-4f9e-8317-269a7a42b7e9,1,TRUE,TRUE,TRUE,TRUE
50,55.275,20,50,55,20,d2f318dc-5165-48b8-92b5-0aa9cbc406d2,1,TRUE,TRUE,TRUE,TRUE
50,50,20,50,50,20,675d2c1c-35cb-4cd9-a4d5-7e8b837c9220,1,TRUE,TRUE,TRUE,TRUE
55.325,50,20,55,50,20,80953b84-22a7-4fa6-a0cc-1f4c43025fb5,1,TRUE,TRUE,TRUE,TRUE
60,50,20,60,50,20,3be8a123-bbd2-4de1-a3a1-c62ee8f59817,1,TRUE,TRUE,TRUE,TRUE
60,55.244,20,60,55,20,ab81b373-49bc-4e9a-aeda-d443e452b6dd,1,TRUE,TRUE,TRUE,TRUE
60,60,20,60,60,20,ce38ee29-ed9b-4740-b82b-e8e35d83a9f9,1,TRUE,TRUE,TRUE,TRUE
55.416,60,20,55,60,20,6bf89e51-367c-437b-953a-557afbb10b7e,1,TRUE,TRUE,TRUE,TRUE
50,10,40,50,10,40,4210dabd-20ab-4dce-b076-b5369d17228b,1,TRUE,TRUE,TRUE,TRUE
50,4.923,40,50,5,40,90f5e448-4df1-42fa-b80a-0b3b9d287e31,1,TRUE,TRUE,TRUE,TRUE
50,0,40,50,0,40,2e9d1ca5-156c-418a-a3bb-79e2e8ca126d,1,TRUE,TRUE,TRUE,TRUE
55.239,0,40,55,0,40,81e490d2-d6eb-42ad-8424-1d99ed1b02f5,1,TRUE,TRUE,TRUE,TRUE
60,0,40,60,0,40,b71ab3ee-8f3a-4d38-96a0-ac3bf47186b3,1,TRUE,TRUE,TRUE,TRUE
60,5.259,40,60,5,40,c3b48449-f463-4ccb-86fc-29bb67a187cd,1,TRUE,TRUE,FALSE,TRUE
60,10,40,60,10,40,1f509571-1fc9-4b68-9ad4-696e8c595697,1,TRUE,TRUE,TRUE,TRUE
55.241,10,40,55,10,40,97b34ae6-2eef-43eb-80bd-409826b6b270,1,TRUE,TRUE,TRUE,TRUE
